ls_vitz;ls_energo
511020898;111101134
511021111;111910055
511021226;111910481
511021543;110904748
511021593;110405216
511021755;110407116
511023066;110106091
511023472;110932025
511024135;110905366
511024876;111910657
511024923;110604233
513000080;130106073
513000103;130108023
513000357;130110013
513000933;130327127
513001387;130516084
513001484;130517015
513001751;130608021
513001777;130608032
511014601;111907190
511015314;110405175
511015500;110504176
511016962;111104294
511017015;110920412
511017138;110904686
511017146;111910488
511017308;111907088
511017798;110904782
511018087;111104132
511018207;110106178
511018906;111401171
511019261;110508352
511015348;111007107
511015356;111908020
511017154;111910605
511017780;111910649
511018613;111910499
511018736;111910426
511018744;111910295
511019782;110904624
511020678;110403067
511021268;110905312
511021640;110503338
511022400;111908106
511023139;110106084
516001815;160509156
516001899;160710139
516001970;160310065
516002413;160505039
516002594;160208085
516002829;160509060
516002837;160405106
517006737;190062006
517008129;190061960
518000027;180105139
518000530;200204211
519000119;190109126
519000143;191114064
522001378;220170126
522002099;220211059
522002918;220402555
522002926;220402556
522003370;220701012
522003419;220701042
522003427;220701050
522003485;220701067
522004318;220701410
522004407;220701439
522004465;220701463
522004554;220701507
522004839;220701585
513002325;130804105
513002529;130905190
513002812;131110027
513002854;131110137
513003101;131409062
513003258;131501052
513003931;130420090
513005250;130106046
513005412;130517189
513006125;130517223
514000106;140101126
514000261;140108020
514000350;140108139
522000429;220100273
522000479;220100282
522000843;220101024
522000893;220105112
522002544;220402354
522002586;220402358
522003029;220402575
522003590;220701108
522003841;220701218
522004279;220701383
522004651;220701526
522004847;220701586
522005063;220801319
511023757;111116059
511023838;110904841
511023977;110204208
511024258;111006159
511029143;110507119
513000488;130210042
513000682;130308030
513001036;130403094
513001256;130516030
513001298;130516045
513001719;130517209
513001743;130607006
513001808;130608071
522005796;220902288
522005885;220902304
522005990;221013102
522006190;222100002
522006865;226100793
522006970;226100825
522007065;229000031
522007455;229000661
522007845;226010421
522008948;220901047
522009287;226010100
523000105;112901023
523000391;230109015
